區鄉,里村,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資收入,稿費收入
萬華區,騰雲里,1013,781307,5645,24870,591178,43822,15275,2101,967,80307,726,13925,35,2457,801542,545
萬華區,榮德里,965,576807,14639,15664,437875,20237,12705,1156,1278,47079,585,24186,281,1122,644744,1262
萬華區,福星里,1620,1311418,20724,40363,874715,65999,98354,5413,1692,181675,160,18943,643,2738,1192675,4497
萬華區,和德里,1675,1029441,25838,34536,761263,38419,35748,2588,1744,106800,682,18175,272,3375,1108698,1590
萬華區,萬壽里,1011,934602,19446,40343,472043,48073,173214,5265,683,158017,312,14044,331,2830,641171,2358
萬華區,銘德里,1403,969049,9914,13450,742215,39697,16412,1070,3064,123875,2425,14892,963,1073,1047224,2953
萬華區,華江里,2483,1562217,22355,39171,1171781,74848,59711,6381,2412,147766,3026,26754,1853,6161,1682258,6353
萬華區,錦德里,1599,1013427,15660,28102,792616,40203,28339,2596,2356,82987,2286,14220,77,3985,1123491,1218
萬華區,新忠里,1025,801547,6915,29698,598313,61226,17979,3452,884,65096,437,13475,408,3663,802877,2526
萬華區,其　他,52,47644,2379,2187,25175,2053,5084,146,99,9038,0,1479,0,3,33414,178
萬華區,合　計,53987,40828269,630312,1256564,28744012,1964523,1821679,162768,70470,5303747,80533,656611,17931,119118,39741452,100777
大同區,建泰里,1316,1363147,16157,31227,826747,59393,105882,7352,2264,274271,469,36332,182,2870,1089658,1921
大同區,建明里,1170,1241419,32386,59974,557029,51440,156063,6705,1527,334646,761,18948,274,21665,768658,2008
大同區,雙連里,2980,2803663,24502,79543,1981059,114946,127620,19054,3513,405880,267,33291,342,13646,2619435,4436
大同區,建功里,1574,1574479,17907,38293,894651,84261,140958,7972,1894,362506,235,19631,844,5327,1212864,3417
大同區,景星里,701,469672,6807,12090,365099,17232,13843,2755,1273,39269,0,9559,0,1746,511175,615
大同區,星明里,2010,2248448,36009,52618,1198164,82945,134538,10660,3198,682812,3192,30990,580,12741,1611707,4342
大同區,朝陽里,1551,1587733,17485,57816,885735,70032,131184,6886,1737,393258,670,17541,589,4802,1188126,3006
大同區,大有里,1578,1412948,26751,33832,821877,80010,139555,6087,2265,283068,928,14581,527,3468,1125999,3052
大同區,斯文里,1506,1228182,15276,55944,819446,54098,56726,2898,1574,192261,1996,25008,49,2906,1139862,1685
大同區,揚雅里,1138,964854,9858,26444,622633,39873,50480,1805,1174,197021,46,13993,0,1528,862135,1178
大同區,國順里,729,411597,6681,10549,318648,17821,14692,253,887,34753,368,5788,0,1158,470771,164
大同區,國慶里,1613,1583274,11364,21365,1049129,77664,98548,5099,2749,287600,1316,21104,66,7269,1394342,2026
大同區,隆和里,1144,1013770,16079,14084,663188,51379,37059,14987,1539,199136,2,12873,309,3135,902796,1774
